<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.09.01	00:00:00	0.63315	0.63508	0.63315	0.63428	2070	1261950000	21
2015.09.01	01:00:00	0.63427	0.63605	0.63415	0.63558	5031	2768406000	21
2015.09.01	02:00:00	0.63558	0.63633	0.63479	0.63497	5048	2676097000	21
2015.09.01	03:00:00	0.63498	0.63635	0.63452	0.63498	4488	2285439000	21
2015.09.01	04:00:00	0.63505	0.63763	0.63454	0.63673	4808	3090764000	21
2015.09.01	05:00:00	0.63674	0.63850	0.63597	0.63821	4865	2560910000	21
2015.09.01	06:00:00	0.63821	0.63865	0.63736	0.63750	3318	1518222000	21
2015.09.01	07:00:00	0.63750	0.63884	0.63728	0.63740	3963	2308404000	21
2015.09.01	08:00:00	0.63739	0.63858	0.63685	0.63795	4613	2479912000	21
2015.09.01	09:00:00	0.63795	0.63856	0.63694	0.63795	7948	7283571000	21
2015.09.01	10:00:00	0.63796	0.63806	0.63685	0.63697	5049	3581853000	21
2015.09.01	11:00:00	0.63699	0.63710	0.63202	0.63223	6701	4812823000	21
2015.09.01	12:00:00	0.63223	0.63401	0.63154	0.63345	5791	3007463000	21
2015.09.01	13:00:00	0.63345	0.63545	0.63332	0.63513	5287	2899076000	14
2015.09.01	14:00:00	0.63513	0.63599	0.63336	0.63352	5085	2300025000	15
2015.09.01	15:00:00	0.63352	0.63465	0.63257	0.63427	6333	3945623000	21
2015.09.01	16:00:00	0.63427	0.63529	0.63365	0.63405	6026	4362639000	21
2015.09.01	17:00:00	0.63473	0.63522	0.63218	0.63372	7205	4913733000	21
2015.09.01	18:00:00	0.63372	0.63532	0.63343	0.63438	4889	2963184000	21
2015.09.01	19:00:00	0.63437	0.63498	0.63357	0.63391	2709	1941936000	21
2015.09.01	20:00:00	0.63392	0.63460	0.63327	0.63458	2549	1471688000	20
2015.09.01	21:00:00	0.63458	0.63465	0.63264	0.63267	3050	2293969000	21
2015.09.01	22:00:00	0.63267	0.63377	0.63267	0.63320	3793	3003200000	21
2015.09.01	23:00:00	0.63319	0.63388	0.63250	0.63284	2479	1375703000	19
2015.09.02	00:00:00	0.63302	0.63374	0.63230	0.63353	2875	1996250000	21
2015.09.02	01:00:00	0.63355	0.63411	0.63306	0.63331	1962	1029665000	24
2015.09.02	02:00:00	0.63335	0.63336	0.63109	0.63181	3467	2012479000	21
2015.09.02	03:00:00	0.63180	0.63465	0.63171	0.63465	4545	2685885000	21
2015.09.02	04:00:00	0.63460	0.63565	0.63248	0.63491	5487	3524724000	21
2015.09.02	05:00:00	0.63493	0.63528	0.63393	0.63405	4401	2201500000	21
2015.09.02	06:00:00	0.63405	0.63669	0.63401	0.63657	3821	2364251000	21
2015.09.02	07:00:00	0.63657	0.63661	0.63553	0.63626	3759	2659035000	21
2015.09.02	08:00:00	0.63626	0.63639	0.63491	0.63552	4084	2163825000	21
2015.09.02	09:00:00	0.63555	0.63683	0.63452	0.63457	5702	3832042000	19
2015.09.02	10:00:00	0.63460	0.63614	0.63453	0.63478	4641	3620566000	21
2015.09.02	11:00:00	0.63477	0.63498	0.63303	0.63373	4757	3382880000	21
2015.09.02	12:00:00	0.63372	0.63374	0.63223	0.63282	4059	2592036000	21
2015.09.02	13:00:00	0.63282	0.63347	0.63236	0.63284	4688	2897441000	21
2015.09.02	14:00:00	0.63284	0.63362	0.63272	0.63327	5266	3652548000	21
2015.09.02	15:00:00	0.63328	0.63505	0.63281	0.63463	5335	3534154000	21
2015.09.02	16:00:00	0.63463	0.63542	0.63400	0.63464	5213	3673644000	21
2015.09.02	17:00:00	0.63464	0.63611	0.63384	0.63401	6557	4772019000	21
2015.09.02	18:00:00	0.63401	0.63453	0.63351	0.63408	4732	4613787000	21
2015.09.02	19:00:00	0.63407	0.63502	0.63389	0.63500	3088	2618916000	21
2015.09.02	20:00:00	0.63496	0.63534	0.63446	0.63477	3628	3275350000	21
2015.09.02	21:00:00	0.63477	0.63575	0.63329	0.63367	4212	4095152000	21
2015.09.02	22:00:00	0.63358	0.63462	0.63345	0.63432	4003	2366439000	21
2015.09.02	23:00:00	0.63436	0.63467	0.63372	0.63457	1881	1233346000	18
2015.09.03	00:00:00	0.63449	0.63567	0.63377	0.63537	3212	1468768000	21
2015.09.03	01:00:00	0.63540	0.63700	0.63512	0.63661	4673	1867210000	21
2015.09.03	02:00:00	0.63661	0.63725	0.63641	0.63691	2667	1916840000	21
